abacus	n．算盘
acrobat	n.特技演员，杂技演员
acronym	n．首字母简略词，简称
acrophobia	n.恐高症
acrylic	a.［化］丙烯酸;丙烯酸衍生物的
acting	n.表演：演技
action	n.行动；措施
activate	n.［化］使活化,使激活;［原］使产生放射性
active	a.忙碌的；活跃的
actuarial	a.保险计算的
actuate	v.开动(机器);激励,驱使
acuity	n.(尤指思想或感官)敏锐
acumen	n.敏锐，精明,聪明
acupuncture	n.针刺(疗法)
acute	a.灵敏的；[病]急性的
acute angle	n.锐角
ad-lib	adj.即兴表演的
adage	n.格言，古训
adagio	adj.缓慢的，宁静的
adamant	a.强硬的；固执的
adapt	v.使…适应；修改
adaptable	a.有适应能力的；可改编的
adaptation	n.改写本，改编本
addendum	n.补充，附录
addict	v./n.沉溺；上瘾(者)
addicted	a.成瘾的：入迷的
addiction	n．沈溺，上瘾
addictive	adj．（毒品等）使人上瘾的
addition	n.增加，附加
additive	n.添加剂
addle	v．使腐坏，使昏乱
addled	adj．头脑混乱的
address	v.处理，对付，着手解决；致词
adduce	v．给予（理由），举出（
adept	a.老练的，精通的
adequate	a.足够的
adhere	v.粘着；依附,拥护
adherent	n.拥护者，信徒
adhesive	a.带粘性的，胶粘的；n.胶合剂
adipose	a.脂肪质的,脂肪多的,n.动物脂肪
adjacent	a.接近的，毗连的
adjacent angle	n.邻角
adjoin	v.贴近，毗连；靠近
adjoining	a.毗邻的
adjourn	v.使延期，推迟；休会
adjudicate	v．充当裁判，判决
adjudication	n.判决,裁定,宣告.
adjunct	n.附加物，附件
adjuration	n.祈求，命令
adjure	v．郑重敦促（恳请）
adjust	v.整顿，整理；适应
adjutant	n．（军队的）副官，助手
adlib	v.即兴演出
administer	v.管理，支配；实行，实施；给予，用(药)
administration	n.管理，经营；管理部门；执行；施政
administrative	a. 管理的,行政的
admirable	a.令人钦佩的
admire	v.钦佩，赞赏
admission	n.许可；入会费；承认
admit	v.承认，供认
admonish	v.训诫；警告
admonition	n.告诫,劝告;温和的责备
admonitory	adj．警告的
ado	n.忙乱，骚扰
adobe	n.泥砖，土坯
adolescence	n.青春期的男孩或女孩，青少年，青春期的
adolescent	a.青春期的；n.青少年
adopt	v.收养；采纳
adoption	n.采用，采纳；收养
adoptive	a. 收养关系的,采用的
adorable	adj．迷人的，可爱的
adoration	n．爱慕，崇拜
adore	v.崇拜；热爱
adorn	v.装饰
adornment	n．装饰，装饰品
adrenal	a.肾上腺的,肾上附近的.
adrenalin	n. 肾上腺素
adroit	a.熟练的，灵巧的
adulate	v.谄媚，奉承
adulatory	a.馅媚的,奉承的
adult	a.成年人的；已成熟的 n.成年人
adulterate	v.掺假
adumbrate	v.(对将来事件)预示
advance	v.前进，推进
advent	n.到来，来临
adventitious	a.偶然的
adverbial	n.&a.副词(的)，状语(的)
adversarial	a.敌人的,对手的
adversary	n对手，敌手
adverse	a.不利的，相反的；敌对
adversity	n．不幸，灾难
advert	n.广告
advertise	v.做广告
advice	n.劝告;忠告;意见
advisable	a.适当的，可行的,明智的
advise	v.劝告；忠告
advisory	adj．劝告的
advocacy	n.拥护，支持
advocate	v.拥护，支持；n.支持者，拥护者
aegis	n.盾；保护，庇护
aeon	n．千万年，永久
aerate	v.充气，让空气进入
aerial	a.空中的，空气中的
aerie	n.猛禽的窝
aerobic	a.有氧代谢的
aerodynamics	n. 空气动力学,气体力学
aeronautics	n.航空学
aerosol	n.烟雾;［化］气溶,烟雾剂
aesthete	n.审美家
aesthetic	a.美学的，有审美感的
aesthetics	n．美学
affability	a.和蔼可亲的；友好的
affable	a.易于交谈的；和蔼的
affect	v.影响，作用；感动；(疾病)侵袭
affectation	n.做作，虚假
affected	a.不自然的；假装的
affection	n.爱
affectionate	adj．挚爱的
affidavit	n.宣誓书
affiliate	v.加入；联合
affiliation	n.联系，联合
affinity	n.密切关系；(两性)吸引力
affirm	v.确认；肯定
affirmation	v.证实；确认
affirmative	adj．赞成的，肯定的
affix	v.粘上，贴上；在合同上添写某事物；n.词缀
afflict	v.使痛苦，折磨
affliction	n.悲痛，受难的起因
affluence	n.充裕，富足
affluent	a.富裕的，丰富的
afford	v.担负得起，抽得出(时间等)；提供
affordable	a.能够支付的
affront	v.侮辱，冒犯
aficionado	n.爱好者
afoul	ad.纠缠着(run
aftermath	n.后果,余波
agape	a.张大嘴的
agate	n.玛瑙
agency	n.代理(权)，代办；力量，(能动)作用；机构
agenda	n.议程
agglomerate	v.凝聚，结块
agglomeration	n.（杂乱的）聚集，堆积
aggrandize	v.增大，扩张；吹棒
aggravate	v.加重，恶化
aggravation	v.加重；使恶化
aggregate	v.集合；合计
aggregation	n.集合,集中,群体
aggression	n.侵略；敌对的情绪或行为
aggressive	a.好斗的；进取的
aggressor	n.侵略者，攻击者
aggrieve	v.使受委屈；使痛苦
aggrieved	adj．（因受伤害而）愤愤不平的，痛心的
aghast	adj．惊骇的，吓呆的
agile	a.敏捷的，灵活的
agility	n.敏捷
agitate	v.搅动，煽动；使不安，使焦虑
agitated	a.被鼓动的；不安的
agitation	n．鼓动，焦虑
aglow	a.发光的；炽热的
agnostic	a.不可知论的
agog	a.兴奋的，有强烈兴趣的
agonize	v.痛苦：v.力争
agony	n.极大痛苦
agrarian	a.土地的
agreeable	a.令人喜悦的；欣然同意的
agreement	n．一致，协议
agrerian	a.耕地的,土地的,土地所有的,农民的
agricultural	a.农业的
agriculture	n.农业
agronomist	n．农学家
agronomy	n.农学，农艺学
aid	n.帮助；助手；救护 v.帮助；急救
ail	v.生病
ailment	n.(不严重的)疾病
air	n.大气，空气；态度，神态 v.通风
air-conditioning	v.装空调
airborn	a.空降的,空运的.空中飞行的;通过电视传送的.
airborne	a.空气传播的；空运的
aircraft	n.飞机，飞艇，航空器
airing	n. 晾干,风干,兜风
airtight	a.密闭的，不透气的
aisle	n. 走廊,侧廊
akin	有密切关系的, 相近的
alabaster	a.雪白的
alacrity	n.乐意，欣然；敏捷，活泼
alarm	n.惊恐；警报 v.使…惊恐；向…报警
albeit	conj. 虽然，尽管
albino	n.患白化病的人
album	n.相片册，邮票簿
alchemy	n.炼金术
alcohol	n.酒精，乙醇；含酒精的饮料
alcove	n.凹室
ale	n.淡色啤酒
alert	a.警惕的，机警的; n.警报
alfalfa	n.茴蓿,紫苜蓿
alga	n.水藻，海藻
algae	n.(alga的复数)水藻,海藻
algebra	n.代数
alias	n.化名，别名
alibi	n.某人当时不在犯罪现场的申辩或证明
alien	n.外侨，外国人；外星人 a.外国的；相异的
alienate	v.疏远，离间某人
alienated	adj．疏远的，被隔开的
alight	vi. 落下,偶然发现
align	v.将某物排列在一条直线上；与某人结盟
alimentary	a.饮食的，营养的
alimony	n.赡养费
alkali	n.碱
alkaline	a.碱的,含碱的,碱性的
all	a.全部的，整个的 pron.全部，ad.完全，都
allay	v.减轻，缓和
allegation	n．（无证据的）指控
allege	v.(无证据)陈述，宣称
allegiance	n.忠诚，拥护
allegory	n.寓言
allegro	adj.(音)轻快的，快速的
allergic	a.过敏的；对…讨厌的
allergy	n.过敏症；厌恶
alleviate	v.缓和，减轻
alley	n．小巷，小径
alliance	n.同盟，同盟国；结盟，联姻
alligator	n.短吻鳄
alliterate	v.押头韵
allocate	v.配给，分配
allocation	n．拨给，分配
allopathy	n．（医）对抗疗法
allot	v. 分配,分摊指定
allow for	考虑到
allowance	n.津贴，补助；承认，允许
alloy	n．合金，v．混合
allude	v.间接提到，暗指
allure	v．引诱，n．诱惑力
allurement	n．诱惑物
alluring	a.吸引人的，迷人的
allusion	n.暗示，间接提示
alluvial	adj．冲积的
ally	n．盟国，支持者
almond	n．杏树，杏仁
alms	abbr. 救济品
almshouse	n.贫民所,救济院
aloft	adv.在空中，在头顶上
alone	a.单独的，独自的 ad.仅仅，只；单独地
alongside	prep.在…旁边；和…在一起 ad.在旁边
aloof	a.冷淡的，疏远的
alphabet	n.字母表
alphabetical	a.按字母表顺序的
alpine	a.高山的
altar	n.祭坛，圣坛
alter	v.改变，更改
alteration	n．改变，变更
altercation	n．争吵，争论
alternate	a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择
alternative	a.两者挑一的;选择的,抉择;选择对象
altitude	n.高度
alto	n.［音］女低音;男声最高音;中提琴
altruism	n.利他主义；无私
altruistic	a.无私的，为他人着想的
aluminium	n.铝
aluminum	n.铝
alumni	a.(alumnus的复数)校友
amalgam	n.混合物
amalgamate	v.合并；混合
amass	v.积聚
amateur	n.业余爱好者
amateurish	a.业余爱好的，不熟练的
amaze	v.使惊愕
amazon	n.亚马孙族女战士
ambassador	n.大使，特使
amber	n.琥珀，琥珀色，黄褐色
ambidextrous	a.十分灵巧的
ambience	n.周围环境, 气氛
ambiguity	n.模棱两可,模糊
ambiguous	a.含糊的
ambition	n.野心，雄心；抱负，志向
ambitious	a.有雄心的，有抱负的；热望的
ambivalence	n.矛盾心理
ambivalent	a.(对人或物)有矛盾看法的
amble	n./v.漫步，缓行
ambrosia	n.神仙食品，美味
ambrosial	a.芬香的
ambulance	n.救护车(船、飞机等)
ambulatory	adj.& n.走动的，流动的，非固定的回廊
ambush	v.埋伏；伏击
ameliorate	v.改善，改良
amenable	a.愿顺从的，通情达理的
amend	v.修正，(通常向更好的方向)变化
amendment	n.改正，修正；[法]修正案
amends	n. 赔偿
amenities	n.生活福利设施
amenity	n.礼仪；使人感到舒适的事物
amethyst	n．紫水晶
amiable	a.（人自身性格）和蔼的，亲切的
amicable	a.（对外界）友好的
amid	prep.在...中
amidst	prep. 在...当中
amino acid	n.胺基酸
aminoacid	n.胺基酸
amiss	a.无序的，出差错的
amity	n.(人或国之间的)友好关系
ammonia	n. (化)氨
ammunition	n. 军火,弹药
amnesia	n.健忘症
amnesty	n.大赦，特赦
amok	p.发狂，狂暴，疯狂
amoral	adj．不知是非的
amorous	adj．容易动情的，情爱的
amorphous	a.无定形的
amortize	v.分期偿还
amount	n.数量，总数 v.总计；相当于，等于
amphetamine	n.［药］氨基丙苯,苯基丙,发非他明
amphibian	n.两栖动物；水陆两用飞行器
amphitheater	n.圆形露天剧场；竞技场面
ample	a.富足的；充足的
amplification	v.放大，扩大（声音）
amplifier	n.扩音器
amplify	v.放大；详述
amplitude	n.广大，广阔
amputate	v．切除
amulet	n.护身符
amuse	v.使愉快，逗某人笑
anachronism	n.年代错误
anachronistic	a.年代出错的
anaerobic	a.厌氧的
anagram	n.变形词
analgesia	n.无痛觉，痛觉丧失
analgesic	n.镇痛剂；a.止痛的
analogous	a.类似的
analogy	n.相似；类比
analysis	n.分析，分解
analytic	a.分析的或分析法的
analytical	a. 分析的,解析的
analyze	v.分析，分解
anarchic	adj．无政府的
anarchism	n.无政府主义
anarchist	n.无政府主义者
anarchy	n.无政府;政治上的混乱
anathema	n.被诅咒的人；宗教意义的诅咒
anathematize	v.开除教籍，诅咒，咒逐
anatomical	a.解剖学的
anatomy	n.解剖,分析;解剖学;人体,骨骼
ancestor	n.祖先，祖宗
ancestry	n.家系
anchor	v.稳固；固定n.锚
anchorite	n．隐士
ancillary	a.辅助的；n.助手
anecdotal	a.轶事的,爱谈奇闻轶事的
anecdote	n.短故事；轶事
anemia	n.贫血，贫血症
anemic	a.贫血的
anesthesia	n.麻醉
anesthetic	n.麻醉剂；a.麻醉的
anesthetics	n.麻醉剂
angle	bisector
angle bisector	n.角平分线，分角线
anguish	n.极大痛苦
anguished	adj．很痛苦的
angular	a.有角的；(指人)瘦削的
anhydrous	a.无水的
animadversion	n.责备，谴责，批评
animadvert	v.苛责，非难
animate	a.活的，有生命的；v.赋予生命
animated	a.活泼的，生动的
animation	n.活泼，有生气；卡通制作
animosity	n.憎恶，仇恨
animus	n.敌意，憎恨
ankle	n．脚踝
annals	n.编年史
annex	v.附加, 添加;兼并
annexation	n.并吞，合并
annihilate	v.消灭
anniversary	n.周年；周年纪念
annoint	v.选定;指定
annotate	v.注解
annotation	n．注解
announce	v.宣布，发表；通报…的到来
annoy	v.惹恼；打搅，骚扰
annual	a.每年的，年度的 n.年刊，年鉴
annuity	n.年金,年金享受权;
annul	v.宣告无效；取消
anode	n.(电)阳极，正极
anodyne	n．止痛药
anomalous	a.反常的；不规则的
anomaly	n.异常，反常
anonymity	n.无名，匿名
anonymous	a.匿名的
anopheles	n.(动)疟蚊属
anorexia	n.厌食症
antagonism	n.反抗，敌意
antagonist	n．敌手，对手
antagonistic	a.对抗的；敌对的
antagonize	v.使对抗；与…对抗
Antarctic	a.南极的
Antarctica	n.南极洲
antebellum	a.［拉］战前的;［美］南北战争以前的
antecede	v.先前，先行
antecedence	n.居先，优先
antecedent	n.前事；前辈；a.先行的
antecedents	n.前事；先例；前身
antedate	v.(在信,文件上)写上较早日期
antediluvian	a.史前的；陈旧的
antenna	n.触角；天线
anterior	a.较早的，以前的
anthem	n.圣歌；赞美歌，国歌
anthology	n.诗集，文选
anthropoid	adj．像人类的，类人猿的
anthropological	a.人类学的
anthropologist	n.人类学家
anthropology	n．人类学
anthropomorphic	a.被赋予人形的；拟人的
antiaristocratic	a.反贵族统治的
antibiotic	n.抗生素；a.抗菌的
antibiotics	n.抗生素
antibody	n.抗体(身体中的抗病物质)
antic	a.古怪的
anticipate	v.预期，期待
anticipation	n.预料，预期
anticipatory	a.预想的，预期的
anticlimactic	a.高潮突降的;
anticlimax	n.令人扫兴的结局;（演讲）突降法
anticlockwise	a.ad. 逆时针的
antics	n．古怪滑稽的动作
antidote	n.解毒药
antifreeze	n.抗冻剂
antigen	n.抗原(注射于动物体内,能使之产生抗体的物质)
antihistamine	n.(治疗过敏的)抗组胺剂
antipathy	n.反感，厌恶
antipode	n.恰恰相反的事物(of,to);相对极,对极
antipsychotic	a.抑制精神的，n.安定药
antiquated	a.陈旧的，过时的
antique	a.古时的，古老的；n.古物，古董
antiquity	n.古；古人；古迹
antiseptic	n.杀菌剂；a.防腐的
antithesis	n.对立；相对
antithetic	adj．对立的
antitrust law	n.反独占法，反托拉斯法
antler	n.鹿角，茸角
antonym	n. 反义字,反义语,对语
anvil	n.铁砧
anxiety	n.挂念，焦虑；渴望
anyhow	ad.不管怎样说；不管以什么方法；总之
aorta	n.主动脉
apathetic	adj．冷漠的，无动于衷的
apathy	n．漠然，冷淡
ape	n.无尾猿,
apectator	n.观众,旁观者
aperiodic	a.非周期的
aperitif	n.开胃酒
aperture	n．孔隙，窄的缺口
apex	n.顶点，最高点
aphasia	n．失语症
aphorism	n.格言
apiary	n.养蜂场，蜂房
apiculture	n．养蜂业
apiece	ad. 每人,每个,各
aplomb	n.沉着，镇静
apocalyptic	a.预示世界末日的；启示的
apocrypha	n.伪经，伪书
apocryphal	a.假冒的，虚假的
apogee	n.远地点
apolitical	a.不关心政治的,无政治意义的
apologetic	adj　道歉的，歉意的
apologist	n.辩护士(尤指卫护基督教教义的辩护者)
apologize	v.道歉；辩解
apology	n．道歉，谢罪
apoplectic	a.中风的；愤怒的
apoplexy	n.中风 n.狂怒
apostasy	n.背教，脱党
apostate	n.背教者；变节者
apostrophe	n.书写中撇号(’)(表示省略或所有格)
apothecary	n.药剂师
apothegm	n.格言，箴言，警句
apotheosis	n．神化，典范
appal	v．使惊骇，使恐怖
appall	v.使惊骇，使恐怖
appalling	adj　骇人的，可怕的．
apparatus	n.仪器，设备
apparel	n.(精致的)衣服
apparent	a.明显的，表面上的
apparition	n.幽灵，神奇的现象
appeal	v.恳求；吸引；上诉
appealing	adj．　吸引人的，打动人心的
appease	v.使平静，安抚
appeasement	n．平息，满足
appellation	n.名称，称呼
append	v.附加，添加，贴上
appendage	n．附加物
appendix	n.附录
appetite	n.欲望，食欲，爱好
appetizer	n.开胃品
appetizing	a.美味可口的，促进食欲的
applaud	v.鼓掌表示欢迎或赞赏
applause	n.鼓掌，喝彩
appliance	n.应用,适用;
applicable	a.生效的，适合的
applicant	n.申请人
application	n.请求，申请；应用，应用程序
apply	vi.(for)申请；(to)应用 v.把…应用于
appoint	v.任命，指定；约会
appointment	n.约定，约会；任命，委派
apportion	v.(按比例或计划)分配
apposite	a.适当的，恰当的
appraisal	n.评价, 估价
appraise	v.评价，鉴定
appreciable	a.明显的，可观的
appreciate	v.欣赏；感激
appreciative	adj．感谢的，赞赏的
apprehend	v.逮捕；恐惧
apprehension	n．焦虑，担忧
apprehensive	a.有眼力的；害怕的
apprentice	n.学徒
apprise	v.通知，告诉
approach	v.接近，靠近；着手处理；n.方法
approachable	adj．可接近的，随和的．
approbation	n.称赞，认可
approbatory	adj．表示赞许的．
appropriate	v.拨款；盗用；a.恰当的
appropriation	n.拨款,挪用公款
approve	v.批准，通过；赞许，同意
approximate	a.大约的，估计的
apron	n.围裙
apropos	a./adv.适宜的(地)；有关
apt	a.易于…的；恰当的；聪明的
aptitude	n.适宜；才能，资质
aquaculture	n.水产业
aquarium	n. 水族馆,养鱼池,玻璃缸
aquatic	a.水生的，水中的
aquduct	n.高架渠；渡槽
aqueduct	n.引水渠；高架渠
aquifer	n.含水土层
aquiline	adj．鹰的，似鹰的．
arabesque	n.蔓藤图饰
Arabic	a.阿拉伯的
arable	a.可耕的，适合种植的
arachnid	n.蛛形纲动物
arbiter	n.权威人士，泰斗
arbitrary	a.专横的，不理智的
arbitrate	v.仲裁，公断
arbitration	n.调停, 仲裁
arbitrator	n.公断人
arboreal	a.树木的
arboretum	n.植物园
arc	n.弧，弓形物；弧光
arcane	a.神秘的，秘密的
arch	n.拱门，拱形   v.使成拱形
archaeologist	n.考古学家
archaeology	n.考古学
archaic	adj.古代的, 古老的; 陈旧的, 过时的
archenemy	n.天敌;主要敌人
archeologist	n.考古学家
archeology	n.考古学
archer	（运动或战争中的）弓箭手，射手
archetype	n.原型；典型例子
archipelago	n.群岛
architect	n.建筑师
architecture	n.建筑学；建筑式样；结构，构造
archive	n.档案室
archives	n.档案
arctic	a.北极的；极寒的
Arctic	a.北极的； 极冷的
ardent	a.热心的，热烈的
ardor	n．热情，狂热
arduous	adj．费力的，艰难的
area	n.面积
arena	n.(角斗的)竞技场
argot	n.隐语，黑话
argue	vi.辩论，争论 v.辩论，论证；说服，劝说
argument	n.辩论，争论；论点，论据
aria	n.独唱曲，咏叹调
arid	a.干旱的；枯燥的
aridity	n.干旱，乏味
aridness	n.干燥
arise	vi.出现，发生；由…引起，起源于；起来
aristocracy	n.贵族；贵族政府，贵族统治
aristocrat	n．贵族
arithmetic	mean
arithmetic mean	n.算术平均值
arithmetic progression	n.算术级数
arm	n.直角三角形的股
armada	n.舰队
armament	n.火力装备
armistice	n.休战，停战
armor	n.甲胄，盔甲
armory	n.军械库
armour	n. 甲胄,铁甲,防护具
aroma	n.芳香，香气
aromatic	a.芬芳的，芳香的
arouse	v.唤醒；激发
arraign	v.指责，控告
arrange	v.安排；整理 vi.安排，准备
arrangement	n.排列，整理；安排，准备
arrant	a.坏透的；彻头彻尾的
array	v.部署；n.陈列；大批
arrears	n.债，欠债
arrest	v.依法逮捕；阻止，抑制
arresting	a.显著的，引人注意的
arrhythmic	a.无节奏的；不规则的
arrogance	n.傲慢，自大
arrogant	a.傲慢的，自大的
arrogate	v.冒称具有…权利，霸占
arroyo	n.干涸的河床；小河
arsenal	n.军械库
arsenic	n.砒霜，砷
arson	n.纵火，放火
arsonist	n．纵火犯
arteriosclerosis	n.动脉硬化
artery	n.动脉，命脉
arthritis	n.关节炎
article	n.文章，论文；物件，物品；条款；冠词
articulate	v.清楚说话；连接
artifact	n.人工制品
artifice	n.巧办法；诡计
artificial	a.人造的，假的
artillery	n．大炮，炮兵
artisan	n.手工业工人,手艺人
artist	n.艺术家
artistry	n.艺术技巧
artless	a.粗俗的；自然的
as	conj.由于；像 prep.作为 ad.同样地
as yet	p.到现在为止
as-yet-unexploited	a.尚未开发利用的
ascend	v．上升，攀登
ascendancy	n.统治权，支配力量
ascendent	n.支配力；优势
ascent	n．上升攀登
ascertain	v．查明，确定
ascetic	a.禁欲的；n.苦行者
asceticism	n．禁欲主义
ascribe	v.归功于；归咎于
aseptic	a.洁净的；无菌的
ashamed	a.惭愧的，羞愧的
asinine	adj．愚笨的
askance	p.质疑;怀疑
askew	a.斜的；歪的；不平的
asparagus	[植]芦笋，龙须菜(可作蔬菜)
aspect	n.(问题等的)方面；面貌，外表
aspen	n.白杨
asperity	n.严酷；粗鲁
asperse	v.中伤，诽谤
aspersion	n.诽谤，中伤
asphalt	n.沥青
asphyxia	n．窒息
asphyxiate	v.(使)无法呼吸，窒息而死
asphyxiation	n.窒息
aspirant	n.有抱负者
aspiration	n.抱负，热望
aspire	v.向往，有志于
aspirin	n.阿司匹林
assail	v.(评论)抨击；猛攻
assailable	a.可攻击的
assassin	n.暗杀者
assassinate	v.暗杀
assassination	n.刺杀,暗杀
assault	n.突然袭击；猛袭
assay	v./n.试验，测定
assemblage	n.聚集：集会的行为
assemble	v.集合，聚集；装配
assembly	line
assembly line	n.生产线，装配线
assent	v.同意，赞成
assert	v.断言，主张
assertion	n.武断：断言
assertive	a.过分自信的；有进取心的
assertiveness	n.过分自信
assess	v.确定，评定；估计…的质量
assessment	n.估计，评价
asset	n.财产；优点，长处，可取之处
asseverate	v.郑重声明，断言
assiduity	n．勤勉
assiduous	a.勤勉的；专心的
assign	v.派给，分配；选定，指定(时间、地点)
assignment	n.分派，分配；作业，任务
assimilate	v.同化；吸收
assist	v.帮助，援助
associate	a.联合的；n.合伙人；v.将人或事物联系起来
association	n.团体；协会
assoil	v.赦免，释放
assorted	a.混杂的
assortment	n. 分类,配合,各色俱备之物
assuage	v.缓和，减轻
assume	v.假定；承担
assumption	n.设想；夺取
assurance	n．自信，保证
assure	v.向某人保证，确信
assured	a.自信的；确定的
asterisk	n.星号
asteroid	n.小行星
asthma	n.哮喘症
astigmatic	adj．散光的，乱视的
astigmatism	n．散光
astonish	v.使惊讶
astonished	a.感到惊讶的;十分惊奇的
astound	v.使震惊
astray	a.迷路的，误入歧途的
astringent	a.止血的，收缩的；n.收缩剂，止血剂
astrolabe	n.星盘(古代星位观测仪)
astrology	n.占星术；占星学
astronaut	n.宇航员
astronomer	n.天文学家
astronomical	a.庞大的
astronomy	n.天文学
astrophysics	n.天体物理学
astute	a.机敏的，精明的
asunder	a./adv.分离的；化为碎片
asylum	n.避难所，庇护所
asymmetric	a.不对称的
asymmetrical	adj.不均匀的, 不对称的
asymmetry	n. 不均匀,不称,不对称
at one stroke	adv.一笔，一举
at stake	adv.危如累卵
atavism	n.隔代遗传
atheism	n.无神论,不信神
atheistic	a.无神论的;无神论者的
athlete	n.运动员
athletics	n.运动，体育
atlas	n.地图集
atmosphere	n.大气;大气层;大气圈
atom	n.原子
atonal	a.(音乐)无调的
atone	v.赎罪,补偿
atonement	n.赎罪,弥补
